C20.1.0;C;20;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C20.1.1;C;20;1;1;1;1;1200;800;600;1000;VACIO;1;3
C20.1.2;C;20;2;1;1;1;1200;800;600;1000;VACIO;1;3
C20.1.3;C;20;3;1;1;1;1200;800;600;1000;VACIO;1;3
C20.1.4;C;20;4;1;1;1;1200;800;600;1000;VACIO;1;3
C20.2.0;C;20;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C20.2.1;C;20;1;2;1;1;1200;800;600;1000;VACIO;1;3
C20.2.2;C;20;2;2;1;1;1200;800;600;1000;VACIO;1;3
C20.2.3;C;20;3;2;1;1;1200;800;600;1000;VACIO;1;3
C20.2.4;C;20;4;2;1;1;1200;800;600;1000;VACIO;1;3
C20.3.0;C;20;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C20.3.1;C;20;1;3;1;1;1200;800;600;1000;VACIO;1;3
C20.3.2;C;20;2;3;1;1;1200;800;600;1000;VACIO;1;3
C20.3.3;C;20;3;3;1;1;1200;800;600;1000;VACIO;1;3
C20.3.4;C;20;4;3;1;1;1200;800;600;1000;VACIO;1;3
C21.1.0;C;21;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C21.1.1;C;21;1;1;1;1;1200;800;600;1000;VACIO;1;3
C21.1.2;C;21;2;1;1;1;1200;800;600;1000;VACIO;1;3
C21.1.3;C;21;3;1;1;1;1200;800;600;1000;VACIO;1;3
C21.1.4;C;21;4;1;1;1;1200;800;600;1000;VACIO;1;3
C21.2.0;C;21;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C21.2.1;C;21;1;2;1;1;1200;800;600;1000;VACIO;1;3
C21.2.2;C;21;2;2;1;1;1200;800;600;1000;VACIO;1;3
C21.2.3;C;21;3;2;1;1;1200;800;600;1000;VACIO;1;3
C21.2.4;C;21;4;2;1;1;1200;800;600;1000;VACIO;1;3
C21.3.0;C;21;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C21.3.1;C;21;1;3;1;1;1200;800;600;1000;VACIO;1;3
C21.3.2;C;21;2;3;1;1;1200;800;600;1000;VACIO;1;3
C21.3.3;C;21;3;3;1;1;1200;800;600;1000;VACIO;1;3
C21.3.4;C;21;4;3;1;1;1200;800;600;1000;VACIO;1;3
C22.1.0;C;22;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C22.1.1;C;22;1;1;1;1;1200;800;600;1000;VACIO;1;3
C22.1.2;C;22;2;1;1;1;1200;800;600;1000;VACIO;1;3
C22.1.3;C;22;3;1;1;1;1200;800;600;1000;VACIO;1;3
C22.1.4;C;22;4;1;1;1;1200;800;600;1000;VACIO;1;3
C22.2.0;C;22;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C22.2.1;C;22;1;2;1;1;1200;800;600;1000;VACIO;1;3
C22.2.2;C;22;2;2;1;1;1200;800;600;1000;VACIO;1;3
