Codigo_Ubicacion;Estanteria;Modulo;Altura;Sububicacion;Activo;ID_tipo_ubica;largo_max_m;ancho_max_r;altura_max_n;peso_max_kg;Estado;Id_Almacen;Contenedores_p
A4.2.0;A;4;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A4.2.1;A;4;1;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.2;A;4;2;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.3;A;4;3;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.4;A;4;4;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.5;A;4;5;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.6;A;4;6;2;1;1;1200;800;600;1000;VACIO;1;3
A4.3.0;A;4;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A4.3.1;A;4;1;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.2;A;4;2;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.3;A;4;3;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.4;A;4;4;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.5;A;4;5;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.6;A;4;6;3;1;1;1200;800;600;1000;VACIO;1;3
A5.1.0;A;5;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A5.1.1;A;5;1;1;1;1;1200;800;600;1000;VACIO;1;3
A5.1.2;A;5;2;1;1;1;1200;800;600;1000;VACIO;1;3
A5.1.3;A;5;3;1;1;1;1200;800;600;1000;VACIO;1;3
A5.1.4;A;5;4;1;1;1;1200;800;600;1000;VACIO;1;3
A5.1.5;A;5;5;1;1;1;1200;800;600;1000;VACIO;1;3
A5.1.6;A;5;6;1;1;1;1200;800;600;1000;VACIO;1;3
A5.2.0;A;5;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A5.2.1;A;5;1;2;1;1;1200;800;600;1000;VACIO;1;3
A5.2.2;A;5;2;2;1;1;1200;800;600;1000;VACIO;1;3
A5.2.3;A;5;3;2;1;1;1200;800;600;1000;VACIO;1;3
A5.2.4;A;5;4;2;1;1;1200;800;600;1000;VACIO;1;3
A5.2.5;A;5;5;2;1;1;1200;800;600;1000;VACIO;1;3
A5.2.6;A;5;6;2;1;1;1200;800;600;1000;VACIO;1;3
A5.3.0;A;5;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A5.3.1;A;5;1;3;1;1;1200;800;600;1000;VACIO;1;3
A5.3.2;A;5;2;3;1;1;1200;800;600;1000;VACIO;1;3
A5.3.3;A;5;3;3;1;1;1200;800;600;1000;VACIO;1;3
A5.3.4;A;5;4;3;1;1;1200;800;600;1000;VACIO;1;3
A5.3.5;A;5;5;3;1;1;1200;800;600;1000;VACIO;1;3
A5.3.6;A;5;6;3;1;1;1200;800;600;1000;VACIO;1;3
A6.1.0;A;6;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A6.1.1;A;6;1;1;1;1;1200;800;600;1000;VACIO;1;3
A6.1.2;A;6;2;1;1;1;1200;800;600;1000;VACIO;1;3
A6.1.3;A;6;3;1;1;1;1200;800;600;1000;VACIO;1;3
A6.1.4;A;6;4;1;1;1;1200;800;600;1000;VACIO;1;3
A6.1.5;A;6;5;1;1;1;1200;800;600;1000;VACIO;1;3
A6.1.6;A;6;6;1;1;1;1200;800;600;1000;VACIO;1;3
A6.2.0;A;6;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A6.2.1;A;6;1;2;1;1;1200;800;600;1000;VACIO;1;3
A6.2.2;A;6;2;2;1;1;1200;800;600;1000;VACIO;1;3
A6.2.3;A;6;3;2;1;1;1200;800;600;1000;VACIO;1;3
A6.2.4;A;6;4;2;1;1;1200;800;600;1000;VACIO;1;3
A6.2.5;A;6;5;2;1;1;1200;800;600;1000;VACIO;1;3
A6.2.6;A;6;6;2;1;1;1200;800;600;1000;VACIO;1;3
A6.3.0;A;6;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A6.3.1;A;6;1;3;1;1;1200;800;600;1000;VACIO;1;3
A6.3.2;A;6;2;3;1;1;1200;800;600;1000;VACIO;1;3
A6.3.3;A;6;3;3;1;1;1200;800;600;1000;VACIO;1;3
A6.3.4;A;6;4;3;1;1;1200;800;600;1000;VACIO;1;3
A6.3.5;A;6;5;3;1;1;1200;800;600;1000;VACIO;1;3
A6.3.6;A;6;6;3;1;1;1200;800;600;1000;VACIO;1;3
A7.1.0;A;7;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A7.1.1;A;7;1;1;1;1;1200;800;600;1000;VACIO;1;3
A7.1.2;A;7;2;1;1;1;1200;800;600;1000;VACIO;1;3
A7.1.3;A;7;3;1;1;1;1200;800;600;1000;VACIO;1;3
A7.1.4;A;7;4;1;1;1;1200;800;600;1000;VACIO;1;3
A7.1.5;A;7;5;1;1;1;1200;800;600;1000;VACIO;1;3
A7.1.6;A;7;6;1;1;1;1200;800;600;1000;VACIO;1;3
A7.2.0;A;7;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A7.2.1;A;7;1;2;1;1;1200;800;600;1000;VACIO;1;3
A7.2.2;A;7;2;2;1;1;1200;800;600;1000;VACIO;1;3
A7.2.3;A;7;3;2;1;1;1200;800;600;1000;VACIO;1;3
A7.2.4;A;7;4;2;1;1;1200;800;600;1000;VACIO;1;3
A7.2.5;A;7;5;2;1;1;1200;800;600;1000;VACIO;1;3
A7.2.6;A;7;6;2;1;1;1200;800;600;1000;VACIO;1;3
A7.3.0;A;7;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A7.3.1;A;7;1;3;1;1;1200;800;600;1000;VACIO;1;3
A7.3.2;A;7;2;3;1;1;1200;800;600;1000;VACIO;1;3
A7.3.3;A;7;3;3;1;1;1200;800;600;1000;VACIO;1;3
A7.3.4;A;7;4;3;1;1;1200;800;600;1000;VACIO;1;3
A7.3.5;A;7;5;3;1;1;1200;800;600;1000;VACIO;1;3
A7.3.6;A;7;6;3;1;1;1200;800;600;1000;VACIO;1;3
A8.1.0;A;8;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A8.1.1;A;8;1;1;1;1;1200;800;600;1000;VACIO;1;3
A8.1.2;A;8;2;1;1;1;1200;800;600;1000;VACIO;1;3
A8.1.3;A;8;3;1;1;1;1200;800;600;1000;VACIO;1;3
A8.1.4;A;8;4;1;1;1;1200;800;600;1000;VACIO;1;3
A8.1.5;A;8;5;1;1;1;1200;800;600;1000;VACIO;1;3
A8.1.6;A;8;6;1;1;1;1200;800;600;1000;VACIO;1;3
A8.2.0;A;8;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A8.2.1;A;8;1;2;1;1;1200;800;600;1000;VACIO;1;3
A8.2.2;A;8;2;2;1;1;1200;800;600;1000;VACIO;1;3
A8.2.3;A;8;3;2;1;1;1200;800;600;1000;VACIO;1;3
A8.2.4;A;8;4;2;1;1;1200;800;600;1000;VACIO;1;3
A8.2.5;A;8;5;2;1;1;1200;800;600;1000;VACIO;1;3
A8.2.6;A;8;6;2;1;1;1200;800;600;1000;VACIO;1;3
A8.3.0;A;8;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A8.3.1;A;8;1;3;1;1;1200;800;600;1000;VACIO;1;3
A8.3.2;A;8;2;3;1;1;1200;800;600;1000;VACIO;1;3
A8.3.3;A;8;3;3;1;1;1200;800;600;1000;VACIO;1;3
A8.3.4;A;8;4;3;1;1;1200;800;600;1000;VACIO;1;3
A8.3.5;A;8;5;3;1;1;1200;800;600;1000;VACIO;1;3
A8.3.6;A;8;6;3;1;1;1200;800;600;1000;VACIO;1;3
A9.1.0;A;9;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A9.1.1;A;9;1;1;1;1;1200;800;600;1000;VACIO;1;3
A9.1.2;A;9;2;1;1;1;1200;800;600;1000;VACIO;1;3
A9.1.3;A;9;3;1;1;1;1200;800;600;1000;VACIO;1;3
A9.1.4;A;9;4;1;1;1;1200;800;600;1000;VACIO;1;3
A9.1.5;A;9;5;1;1;1;1200;800;600;1000;VACIO;1;3
A9.1.6;A;9;6;1;1;1;1200;800;600;1000;VACIO;1;3
A9.2.0;A;9;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A9.2.1;A;9;1;2;1;1;1200;800;600;1000;VACIO;1;3
A9.2.2;A;9;2;2;1;1;1200;800;600;1000;VACIO;1;3
A9.2.3;A;9;3;2;1;1;1200;800;600;1000;VACIO;1;3
A9.2.4;A;9;4;2;1;1;1200;800;600;1000;VACIO;1;3
A9.2.5;A;9;5;2;1;1;1200;800;600;1000;VACIO;1;3
A9.2.6;A;9;6;2;1;1;1200;800;600;1000;VACIO;1;3
A9.3.0;A;9;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A9.3.1;A;9;1;3;1;1;1200;800;600;1000;VACIO;1;3
A9.3.2;A;9;2;3;1;1;1200;800;600;1000;VACIO;1;3
A9.3.3;A;9;3;3;1;1;1200;800;600;1000;VACIO;1;3
A9.3.4;A;9;4;3;1;1;1200;800;600;1000;VACIO;1;3
A9.3.5;A;9;5;3;1;1;1200;800;600;1000;VACIO;1;3
A9.3.6;A;9;6;3;1;1;1200;800;600;1000;VACIO;1;3
A10.1.0;A;10;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A10.1.1;A;10;1;1;1;1;1200;800;600;1000;VACIO;1;3
A10.1.2;A;10;2;1;1;1;1200;800;600;1000;VACIO;1;3
A10.1.3;A;10;3;1;1;1;1200;800;600;1000;VACIO;1;3
A10.1.4;A;10;4;1;1;1;1200;800;600;1000;VACIO;1;3
A10.1.5;A;10;5;1;1;1;1200;800;600;1000;VACIO;1;3
A10.1.6;A;10;6;1;1;1;1200;800;600;1000;VACIO;1;3
A10.2.0;A;10;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A10.2.1;A;10;1;2;1;1;1200;800;600;1000;VACIO;1;3
A10.2.2;A;10;2;2;1;1;1200;800;600;1000;VACIO;1;3
A10.2.3;A;10;3;2;1;1;1200;800;600;1000;VACIO;1;3
A10.2.4;A;10;4;2;1;1;1200;800;600;1000;VACIO;1;3
A10.2.5;A;10;5;2;1;1;1200;800;600;1000;VACIO;1;3
A10.2.6;A;10;6;2;1;1;1200;800;600;1000;VACIO;1;3
A10.3.0;A;10;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A10.3.1;A;10;1;3;1;1;1200;800;600;1000;VACIO;1;3
A10.3.2;A;10;2;3;1;1;1200;800;600;1000;VACIO;1;3
A10.3.3;A;10;3;3;1;1;1200;800;600;1000;VACIO;1;3
A10.3.4;A;10;4;3;1;1;1200;800;600;1000;VACIO;1;3
A10.3.5;A;10;5;3;1;1;1200;800;600;1000;VACIO;1;3
A10.3.6;A;10;6;3;1;1;1200;800;600;1000;VACIO;1;3
A11.1.0;A;11;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A11.1.1;A;11;1;1;1;1;1200;800;600;1000;VACIO;1;3
A11.1.2;A;11;2;1;1;1;1200;800;600;1000;VACIO;1;3
A11.1.3;A;11;3;1;1;1;1200;800;600;1000;VACIO;1;3
A11.1.4;A;11;4;1;1;1;1200;800;600;1000;VACIO;1;3
A11.1.5;A;11;5;1;1;1;1200;800;600;1000;VACIO;1;3
A11.1.6;A;11;6;1;1;1;1200;800;600;1000;VACIO;1;3
A11.2.0;A;11;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A11.2.1;A;11;1;2;1;1;1200;800;600;1000;VACIO;1;3
A11.2.2;A;11;2;2;1;1;1200;800;600;1000;VACIO;1;3
A11.2.3;A;11;3;2;1;1;1200;800;600;1000;VACIO;1;3
A11.2.4;A;11;4;2;1;1;1200;800;600;1000;VACIO;1;3
A11.2.5;A;11;5;2;1;1;1200;800;600;1000;VACIO;1;3
A11.2.6;A;11;6;2;1;1;1200;800;600;1000;VACIO;1;3
A11.3.0;A;11;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A11.3.1;A;11;1;3;1;1;1200;800;600;1000;VACIO;1;3
A11.3.2;A;11;2;3;1;1;1200;800;600;1000;VACIO;1;3
A11.3.3;A;11;3;3;1;1;1200;800;600;1000;VACIO;1;3
A11.3.4;A;11;4;3;1;1;1200;800;600;1000;VACIO;1;3
A11.3.5;A;11;5;3;1;1;1200;800;600;1000;VACIO;1;3
A11.3.6;A;11;6;3;1;1;1200;800;600;1000;VACIO;1;3
A12.1.0;A;12;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A12.1.1;A;12;1;1;1;1;1200;800;600;1000;VACIO;1;3
A12.1.2;A;12;2;1;1;1;1200;800;600;1000;VACIO;1;3
A12.1.3;A;12;3;1;1;1;1200;800;600;1000;VACIO;1;3
A12.1.4;A;12;4;1;1;1;1200;800;600;1000;VACIO;1;3
A12.1.5;A;12;5;1;1;1;1200;800;600;1000;VACIO;1;3
A12.1.6;A;12;6;1;1;1;1200;800;600;1000;VACIO;1;3
A12.2.0;A;12;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A12.2.1;A;12;1;2;1;1;1200;800;600;1000;VACIO;1;3
A12.2.2;A;12;2;2;1;1;1200;800;600;1000;VACIO;1;3
A12.2.3;A;12;3;2;1;1;1200;800;600;1000;VACIO;1;3
A12.2.4;A;12;4;2;1;1;1200;800;600;1000;VACIO;1;3
A12.2.5;A;12;5;2;1;1;1200;800;600;1000;VACIO;1;3
A12.2.6;A;12;6;2;1;1;1200;800;600;1000;VACIO;1;3
A12.3.0;A;12;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A12.3.1;A;12;1;3;1;1;1200;800;600;1000;VACIO;1;3
A12.3.2;A;12;2;3;1;1;1200;800;600;1000;VACIO;1;3
A12.3.3;A;12;3;3;1;1;1200;800;600;1000;VACIO;1;3
A12.3.4;A;12;4;3;1;1;1200;800;600;1000;VACIO;1;3
A12.3.5;A;12;5;3;1;1;1200;800;600;1000;VACIO;1;3
A12.3.6;A;12;6;3;1;1;1200;800;600;1000;VACIO;1;3
A13.1.0;A;13;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A13.1.1;A;13;1;1;1;1;1200;800;600;1000;VACIO;1;3
A13.1.2;A;13;2;1;1;1;1200;800;600;1000;VACIO;1;3
A13.1.3;A;13;3;1;1;1;1200;800;600;1000;VACIO;1;3
A13.1.4;A;13;4;1;1;1;1200;800;600;1000;VACIO;1;3
A13.1.5;A;13;5;1;1;1;1200;800;600;1000;VACIO;1;3
A13.1.6;A;13;6;1;1;1;1200;800;600;1000;VACIO;1;3
A13.2.0;A;13;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A13.2.1;A;13;1;2;1;1;1200;800;600;1000;VACIO;1;3
A13.2.2;A;13;2;2;1;1;1200;800;600;1000;VACIO;1;3
A13.2.3;A;13;3;2;1;1;1200;800;600;1000;VACIO;1;3
A13.2.4;A;13;4;2;1;1;1200;800;600;1000;VACIO;1;3
A13.2.5;A;13;5;2;1;1;1200;800;600;1000;VACIO;1;3
A13.2.6;A;13;6;2;1;1;1200;800;600;1000;VACIO;1;3
A13.3.0;A;13;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A13.3.1;A;13;1;3;1;1;1200;800;600;1000;VACIO;1;3
A13.3.2;A;13;2;3;1;1;1200;800;600;1000;VACIO;1;3
A13.3.3;A;13;3;3;1;1;1200;800;600;1000;VACIO;1;3
A13.3.4;A;13;4;3;1;1;1200;800;600;1000;VACIO;1;3
A13.3.5;A;13;5;3;1;1;1200;800;600;1000;VACIO;1;3
A13.3.6;A;13;6;3;1;1;1200;800;600;1000;VACIO;1;3
A14.1.0;A;14;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A14.1.1;A;14;1;1;1;1;1200;800;600;1000;VACIO;1;3
A14.1.2;A;14;2;1;1;1;1200;800;600;1000;VACIO;1;3
A14.1.3;A;14;3;1;1;1;1200;800;600;1000;VACIO;1;3
A14.1.4;A;14;4;1;1;1;1200;800;600;1000;VACIO;1;3
A14.1.5;A;14;5;1;1;1;1200;800;600;1000;VACIO;1;3
A14.1.6;A;14;6;1;1;1;1200;800;600;1000;VACIO;1;3
A14.2.0;A;14;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A14.2.1;A;14;1;2;1;1;1200;800;600;1000;VACIO;1;3
A14.2.2;A;14;2;2;1;1;1200;800;600;1000;VACIO;1;3
A14.2.3;A;14;3;2;1;1;1200;800;600;1000;VACIO;1;3
A14.2.4;A;14;4;2;1;1;1200;800;600;1000;VACIO;1;3
A14.2.5;A;14;5;2;1;1;1200;800;600;1000;VACIO;1;3
A14.2.6;A;14;6;2;1;1;1200;800;600;1000;VACIO;1;3
A14.3.0;A;14;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A14.3.1;A;14;1;3;1;1;1200;800;600;1000;VACIO;1;3
A14.3.2;A;14;2;3;1;1;1200;800;600;1000;VACIO;1;3
A14.3.3;A;14;3;3;1;1;1200;800;600;1000;VACIO;1;3
A14.3.4;A;14;4;3;1;1;1200;800;600;1000;VACIO;1;3
A14.3.5;A;14;5;3;1;1;1200;800;600;1000;VACIO;1;3
A14.3.6;A;14;6;3;1;1;1200;800;600;1000;VACIO;1;3
A15.1.0;A;15;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A15.1.1;A;15;1;1;1;1;1200;800;600;1000;VACIO;1;3
A15.1.2;A;15;2;1;1;1;1200;800;600;1000;VACIO;1;3
A15.1.3;A;15;3;1;1;1;1200;800;600;1000;VACIO;1;3
A15.1.4;A;15;4;1;1;1;1200;800;600;1000;VACIO;1;3
A15.1.5;A;15;5;1;1;1;1200;800;600;1000;VACIO;1;3
A15.1.6;A;15;6;1;1;1;1200;800;600;1000;VACIO;1;3
A15.2.0;A;15;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A15.2.1;A;15;1;2;1;1;1200;800;600;1000;VACIO;1;3
A15.2.2;A;15;2;2;1;1;1200;800;600;1000;VACIO;1;3
A15.2.3;A;15;3;2;1;1;1200;800;600;1000;VACIO;1;3
A15.2.4;A;15;4;2;1;1;1200;800;600;1000;VACIO;1;3
A15.2.5;A;15;5;2;1;1;1200;800;600;1000;VACIO;1;3
A15.2.6;A;15;6;2;1;1;1200;800;600;1000;VACIO;1;3
A15.3.0;A;15;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A15.3.1;A;15;1;3;1;1;1200;800;600;1000;VACIO;1;3
A15.3.2;A;15;2;3;1;1;1200;800;600;1000;VACIO;1;3
A15.3.3;A;15;3;3;1;1;1200;800;600;1000;VACIO;1;3
A15.3.4;A;15;4;3;1;1;1200;800;600;1000;VACIO;1;3
A15.3.5;A;15;5;3;1;1;1200;800;600;1000;VACIO;1;3
A15.3.6;A;15;6;3;1;1;1200;800;600;1000;VACIO;1;3
A16.1.0;A;16;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A16.1.1;A;16;1;1;1;1;1200;800;600;1000;VACIO;1;3
A16.1.2;A;16;2;1;1;1;1200;800;600;1000;VACIO;1;3
A16.1.3;A;16;3;1;1;1;1200;800;600;1000;VACIO;1;3
A16.1.4;A;16;4;1;1;1;1200;800;600;1000;VACIO;1;3
A16.1.5;A;16;5;1;1;1;1200;800;600;1000;VACIO;1;3
A16.1.6;A;16;6;1;1;1;1200;800;600;1000;VACIO;1;3
A16.2.0;A;16;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A16.2.1;A;16;1;2;1;1;1200;800;600;1000;VACIO;1;3
A16.2.2;A;16;2;2;1;1;1200;800;600;1000;VACIO;1;3
A16.2.3;A;16;3;2;1;1;1200;800;600;1000;VACIO;1;3
A16.2.4;A;16;4;2;1;1;1200;800;600;1000;VACIO;1;3
A16.2.5;A;16;5;2;1;1;1200;800;600;1000;VACIO;1;3
A16.2.6;A;16;6;2;1;1;1200;800;600;1000;VACIO;1;3
A16.3.0;A;16;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A16.3.1;A;16;1;3;1;1;1200;800;600;1000;VACIO;1;3
A16.3.2;A;16;2;3;1;1;1200;800;600;1000;VACIO;1;3
A16.3.3;A;16;3;3;1;1;1200;800;600;1000;VACIO;1;3
A16.3.4;A;16;4;3;1;1;1200;800;600;1000;VACIO;1;3
A16.3.5;A;16;5;3;1;1;1200;800;600;1000;VACIO;1;3
A16.3.6;A;16;6;3;1;1;1200;800;600;1000;VACIO;1;3
A17.1.0;A;17;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A17.1.1;A;17;1;1;1;1;1200;800;600;1000;VACIO;1;3
A17.1.2;A;17;2;1;1;1;1200;800;600;1000;VACIO;1;3
A17.1.3;A;17;3;1;1;1;1200;800;600;1000;VACIO;1;3
