;BP 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ENERO;;FEBRERO;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOSTO;;SEPTIEMBRE;;OCTUBRE;;NOVIEMBRE;;DICIEMBRE;;TOTAL 2026;;;TOTAL R2025;;;2026 vs R2025;;;2026 vs R2025;;;;;FACTURACIÓN;;;;;
Factor;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;;IN;OUT;;IN;OUT;;IN;OUT;;;;2026;R2025;2026 vs R2025;;;
THYSSEN EOX DECOS;76795;76795;85328;85328;93860;93860;76795;76795;81061;81061;93860;93860;98127;98127;46930;46930;89594;89594;89594;89594;85328;85328;59729;59729;977000;977000;;101.118 €;88.021 €;;866,20%;1010,00%;;875.882 €;888.979 €;;;;;;;;;977000
THYSSEN EOX ESTR;11050;11050;13000;13000;18734;18734;15328;15328;16179;16179;18734;18734;19585;19585;9367;9367;17882;17882;17882;17882;17031;17031;11921;11921;186692;186692;;132.261 €;121.853 €;;41,20%;53,20%;;54.431 €;64.839 €;;;;;;;;;186691,92
THYSSEN EOX TECHOS;20437;20437;22707;22707;24978;24978;20437;20437;21572;21572;24978;24978;26114;26114;12489;12489;23843;23843;23843;23843;22707;22707;15895;15895;260000;260000;;163.167 €;142.323 €;;59,30%;82,70%;;96.833 €;117.677 €;;;;;;;;;260000
THYSSEN EOX COMP.MECA.;17686;17686;19651;19651;21616;21616;17686;17686;18668;18668;21616;21616;22598;22598;10808;10808;20633;20633;20633;20633;19651;19651;13755;13755;225000;225000;; -    ; -    ;;;;;225.000 €;225.000 €;;;;;;;;;225000
KONE;492143;492143;546826;546826;601508;601508;492143;492143;346323;346323;200503;200503; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ;2679447;2679447;;5.702.926 €;5.672.179 €;;-53,00%;-52,80%;;-3.023.479 €;-2.992.732 €;;;;;;;;;2141734,71
OTIS 2R1;87538;87538;101160;101160;126479;126479;74815;74815;75674;75674;104320;104320;97392;97392;38031;38031;106994;106994;96642;96642;92040;92040;68723;68723;1069807;1069807;;1.062.509 €;1.077.088 €;;0,70%;-0,70%;;7.298 €;-7.281 €;;;;;;;;;1069807,18
OTIS GENESIS;203936;203936;259322;259322;260198;260198;208822;208822;210221;210221;207995;207995;297978;297978;104242;104242;357852;357852;349641;349641;332992;332992;248634;248634;3041834;3041834;;2.863.407 €;2.827.532 €;;6,20%;7,60%;;178.427 €;214.302 €;;;;;;;;;2792945,42
POWER ELECTRONICS;869908;711743;711743;790825;751284;869908;869908;711743;909449;751284;830366;869908;830366;909449;434954;434954;790825;830366;711743;830366;790825;790825;553578;553578;9054948;9054948;;8.387.337 €;8.221.205 €;;8,00%;10,10%;;667.611 €;833.743 €;;;;;;;;;9.054.947,62 €
POWER ELECTRONICS OTROS; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ;; -    ; -    ;;;;; -    ; -    ;;;;;;;;; -    
WALLBOX;39301;39301;43668;43668;48035;48035;39301;39301;41485;41485;48035;48035;50218;50218;24017;24017;45852;45852;45852;45852;43668;43668;30568;30568;500000;500000;;533.489 €;301.243 €;;-6,30%;66,00%;;-33.489 €;198.757 €;;;;;;;;; -    
RESTO PRODUCTOS; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ; -    ;;12.973 €;11.389 €;;-100,00%;-100,00%;;-12.973 €;-11.389 €;;;;;;;;; -    
Totales;3266614;3076530;3255905;3373054;3358273;3460742;3271221;3024089;3256318;3064728;3215581;3079517;2880150;3280818;1340475;1400895;3092289;2874435;2899369;3054692;2842623;2815878;2016524;2127366;34695343;34632745;;37.744.521 €;37.800.646 €;;-8,10%;-8,40%;;-3.049.178 €;-3.167.901 €;;;;;;;;;1.554.900,88 €
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 / día;181479;170918;162795;168653;152649;157306;181734;168005;171385;161301;146163;139978;125224;142644;121861;127354;147252;136878;138065;145462;142131;140794;144037;151955;151508;151235;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNIDADES;ENERO;;FEBRERO;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOSTO;;SEPTIEMBRE;;OCTUBRE;;NOVIEMBRE;;DICIEMBRE;;TOTAL 2026;;;;;;;;;;;;;;;;;;;
Factor;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;;MSV;Fijos;;EBITDA;;;;;;;;;;;;;
CABINAS;216;219;211;217;234;214;225;224;248;242;241;215;203;253;111;116;244;181;0;241;0;219;0;175;1933;2516;;7.515.305,62 €;3.635.134,00 €;;3.880.171,62 €;;;;;;;;;;;;;
CABINAS FAIN;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;377;377;;;;;11,20%;;;;;;;;;;;;;
CHASIS MOCHILA;135;140;123;136;137;133;131;123;136;152;155;130;116;151;56;63;137;110;0;150;0;136;0;109;1126;1533;;;;;;;;;;;;;;;;;;
CHASIS ELECTRICO;84;72;80;80;83;84;93;74;110;99;98;95;86;125;45;31;112;85;0;95;0;86;0;69;791;995;;;;;;;;;;;;;;;;;;
CHASIS CONTRAPESO;167;154;157;159;159;164;158;154;172;167;185;156;152;198;72;72;183;161;0;174;0;158;0;127;1405;1844;;;;;;;;;;;;;;;;;;
CABINAS ESP;0;0;0;1;0;0;1;0;0;0;3;1;5;0;0;0;1;3;0;2;0;1;0;0;10;8;;;;;;;;;;;;;;;;;;
CHASIS ESP;0;1;0;0;1;0;0;0;0;1;3;0;1;0;0;0;2;3;0;1;0;0;0;0;7;6;;;;;;;;;;;;;;;;;;
SCHINDLER CMG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
